calling,calories,heart_monitor,image,period_tracking,price,rating,sleep_tracking,step_counter,title,waterproof,amoled,bluetooth,sports_modes,touchscreen,brand,display_size,battery_days
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/y/a/-original-imagx8nchmehzu5v.jpeg?q=70,0,1499,1.3,0,0,fastrack xr1-1.38|bt calling|fast charge|100+ sports mo...,0,0,0,1,0,4,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/r/1/-original-imahd2re5x9emgaz.jpeg?q=70,0,1099,5.3,0,0,fire-boltt talk 35.3mm (1.39) bluetooth calling with sp...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/b/6/-original-imahjkzuwggdxwvm.jpeg?q=70,0,1399,5.3,0,0,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/m/i/-original-imahkewqxuf7gkfe.jpeg?q=70,0,1499,1.8,0,0,fastrack revoltt x-1.83|blazing fast ui|single sync bt ...,0,0,0,0,0,4,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/0/q/49-edge-lite-black-007-android-ios-qamanta-yes-original-imahgx3yd5b4njpx.jpeg?q=70,0,862,1.9,0,0,"punnkfunnk edge-lite | 1.99 "" amoled display | bt calli...",0,1,0,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/a/o/-original-imagvpakxrhuxywz.jpeg?q=70,0,1399,1.8,0,0,fastrack revoltt fs1-1.83''|bt calling|fast charge|110+...,0,0,0,0,0,4,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/c/0/-original-imahcf2uyr59xxff.jpeg?q=70,0,1299,5.3,0,0,fire-boltt talk 35.3mm (1.39) bluetooth calling with sp...,0,0,1,0,0,3,35.3,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/j/x/p/-original-imagvpakjgykcytm.jpeg?q=70,0,1399,1.8,0,0,fastrack fs1-1.83''|bt calling|fast charge|110+ sports ...,0,0,0,1,0,4,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/l/d/-original-imaggtzt6bnaehyb.jpeg?q=70,0,1099,1.8,0,0,"noise colorfit caliber 2 with 1.83'' display, upto 12 d...",0,0,0,0,0,1,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/d/u/49-t800-ultra-bluetooth-calling-smartwatch-wireless-charger-4-original-imah53j2zgysgrbc.jpeg?q=70,0,456,0.0,0,0,yash enterprises ultra smartwatch,0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/q/i/-original-imahg6xxyaxgyycv.jpeg?q=70,0,1399,1.3,0,0,"boat lunar discovery neo 1.39"" hd display, metallic fin...",0,0,0,0,0,2,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/v/1/-original-imah6s6pq7wxa4u6.jpeg?q=70,0,2099,1.9,0,0,"noise icon 4 with stunning 1.96'' amoled display, metal...",0,1,0,0,0,1,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/v/a/i/-original-imahmq8gvvkv5p5q.jpeg?q=70,0,1199,2.0,0,0,fire-boltt ring x 2.01inch hd | always-on display | met...,0,0,0,0,0,3,2.01,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/i/r/43-8-e2-hype-android-ios-cellecor-yes-original-imahgv9pfyzz8vez.jpeg?q=70,0,899,1.5,0,0,"cellecor hype 1.50"" hd ips display with 500 nits | bt-c...",0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/b/y/-original-imahg6xxrpyqw4ez.jpeg?q=70,0,1599,1.3,0,0,"boat lunar discovery neo 1.39"" hd display, metallic fin...",0,0,0,0,0,2,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/3/l/-original-imah2thyufannsyg.jpeg?q=70,0,1499,1.6,0,0,"noise icon buz 1.69"" display with bluetooth calling, bu...",0,0,1,0,0,1,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/v/l/-original-imahg6xx2msdshcg.jpeg?q=70,0,1399,1.3,0,0,"boat lunar discovery neo 1.39"" hd display, metallic fin...",0,0,0,0,0,2,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/k/o/-original-imah5hztnhh8zzh7.jpeg?q=70,0,2499,1.4,0,0,fastrack optimus2 pro-1.43'' amoled|advanced blazing fa...,0,1,0,0,0,4,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/b/s/-original-imahdvzyzsjadnhn.jpeg?q=70,0,1099,5.3,0,0,fire-boltt talk 35.3mm (1.39) bluetooth calling with sp...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/b/x/-original-imahaus3zzdhftsg.jpeg?q=70,0,1299,5.3,0,0,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/o/2/-original-imahchsy4hwjnbsq.jpeg?q=70,0,1399,1.8,0,0,"noise icon 2 2025 - 1.81"" display, 500 nits brightnessb...",0,0,0,0,0,1,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/t/e/35-306-wrb-sw-twistgo-std-slvr-gry-android-ios-noise-yes-original-imah889ngxq4khs8.jpeg?q=70,0,1599,1.3,0,0,"noise twist go 1.39'' display, bluetooth calling, metal...",0,0,1,0,0,1,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/h/i/-original-imagvsjyghazgjzy.jpeg?q=70,0,1499,1.8,0,0,fastrack revoltt fs1-1.83''|bt calling|fast charge|110+...,0,0,0,0,0,4,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/a/n/49-h9-black-79-android-ios-gamesir-yes-original-imahm5hxcg5ewrwd.jpeg?q=70,0,895,0.0,0,0,"gamesir h9 black smartwatch with bluetooth, fitness & h...",0,0,1,0,0,0,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/h/m/-original-imagvsgzyacugphr.jpeg?q=70,0,1499,1.8,0,0,fastrack fs1-1.83''|bt calling|fast charge|110+ sports ...,0,0,0,1,0,4,1.8,7
